availability,location,bedroom,total_sqft,bathroom,balcony,price,furnishing,amenities
Under Construction,Sarjapur  Road,1,685.0,1.0,1.0,40.0,Semi Furnished,2
Under Construction,Electronic City,2,1152.0,2.0,1.0,64.5,Semi Furnished,5
Ready To Move,Whitefield,3,1655.0,3.0,1.0,108.0,Fully Furnished,7
Ready To Move,Sarjapur  Road,4,3750.0,6.0,3.0,290.0,Fully Furnished,8
Ready To Move,Uttarahalli,2,1075.0,2.0,1.0,40.0,Semi Furnished,2
Ready To Move,Thanisandra,3,1825.0,3.0,2.0,100.0,Fully Furnished,7
Under Construction,Chandapura,3,1190.0,2.0,2.0,30.35,Semi Furnished,0
Ready To Move,Hoodi,3,1445.0,3.0,2.0,65.0,Semi Furnished,5
Ready To Move,JP Nagar,3,1400.0,2.0,1.0,95.0,Fully Furnished,7
Ready To Move,Bellandur,2,1096.0,2.0,2.0,40.0,Semi Furnished,2
Ready To Move,Kanakpura Road,2,1322.0,2.0,3.0,70.0,Semi Furnished,5
Ready To Move,Whitefield,2,1390.0,2.0,1.0,72.0,Semi Furnished,6
Ready To Move,Yeshwanthpur,6,2500.0,5.0,2.0,185.0,Fully Furnished,8
Under Construction,Sarjapur  Road,3,2900.0,3.0,2.0,285.0,Fully Furnished,8
Ready To Move,Electronic City,2,545.0,1.0,1.0,28.0,Unfurnished,1
Ready To Move,Thanisandra,3,1847.0,3.0,2.0,123.0,Fully Furnished,7
Ready To Move,Whitefield,3,2023.0,4.0,2.0,130.0,Fully Furnished,7
Ready To Move,Whitefield,5,7200.0,5.0,2.0,900.0,Fully Furnished,10
Ready To Move,Thanisandra,3,1719.0,3.0,2.0,135.0,Fully Furnished,7
Under Construction,Electronic City,2,1025.0,1.0,1.0,26.63,Unfurnished,1
Under Construction,Whitefield,3,1496.0,2.0,1.0,71.81,Semi Furnished,6
Under Construction,Hennur Road,2,1165.0,2.0,1.0,52.0,Semi Furnished,4
Ready To Move,Chandapura,2,876.0,2.0,2.0,29.5,Unfurnished,1
Ready To Move,Hennur Road,5,1500.0,5.0,1.0,175.0,Fully Furnished,8
Ready To Move,Raja Rajeshwari Nagar,3,1693.0,3.0,1.0,71.38,Semi Furnished,6
Ready To Move,Whitefield,2,1125.0,2.0,2.0,40.0,Semi Furnished,2
